[2025-07-11 06:00:01] INFO - 🔧 Logging initialized
[2025-07-11 06:00:02] INFO - 프로그램 시작됨
[2025-07-11 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-11 06:00:19] INFO - 🔢 총 공고 수: 183325건 → 최대 페이지 수: 3667 페이지
[2025-07-11 06:00:19] INFO - 
📄 현재 페이지: 1
[2025-07-11 06:00:46] INFO - 0119 | ㈜더존비즈온 | [고객지원 - 계약직]더존비즈온 IT 솔루션 고객지원 직군 계약직 채용 | 6시간 전 등록
[2025-07-11 06:00:46] INFO - 0120 | ㈜더존비즈온 | [IT 기술지원]더존비즈온 IT솔루션 기술지원 엔지니어 경력자 채용 | 6시간 전 등록
[2025-07-11 06:00:46] INFO - 0121 | ㈜더존비즈온 | [AI - 엔지니어, 웹개발]더존비즈온 AI 분야(개발, LLM 데이터) 경력 채용 | 6시간 전 등록
[2025-07-11 06:00:46] INFO - 0122 | ㈜휴머니스트 | [VCA] 명품 리치몬트 코리아 반클리프아펠 본사 CRC팀 경력 팀리더/사원 | 7시간 전 등록
[2025-07-11 06:00:46] INFO - 0123 | ㈜휴머니스트 | [GRAFF] 명품 주얼리 그라프 서울/대전/부산 매장 점장/팀장/판매사원 모집 | 7시간 전 등록
[2025-07-11 06:00:47] INFO - 0124 | ㈜인베랩 | [인베랩] SaaS 서비스 풀스택(Full stack) 개발자 채용 | 8시간 전 등록
[2025-07-11 06:00:47] INFO - 0125 | 중랑정상어학원 | 중랑 정상어학원 초등 영어 강사 채용 | 8시간 전 등록
[2025-07-11 06:00:47] INFO - 0126 | 에이아이프리미어파트너스㈜ | [천안시-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-11 06:00:47] INFO - 0127 | 에이아이프리미어파트너스㈜ | [부천시-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-11 06:00:47] INFO - 0128 | 에이아이프리미어파트너스㈜ | [서대문역-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-11 06:00:47] INFO - 0129 | 에이아이프리미어파트너스㈜ | [야탑역-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-11 06:00:47] INFO - 0130 | 필커뮤니티 | 필커뮤니티 After effect 영상 제작 디자이너 모집 | 8시간 전 등록
[2025-07-11 06:00:48] INFO - 0131 | 에이아이프리미어파트너스㈜ | [부평역-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-11 06:00:48] INFO - 0132 | 조인아이티 | 운영/여의도/07월중순-1년/중-고급,20명/기획,디자인,FE,BE/등 상세참조/. | 8시간 전 등록
