[2025-07-19 06:00:02] INFO - 🔧 Logging initialized
[2025-07-19 06:00:02] INFO - 프로그램 시작됨
[2025-07-19 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-19 06:00:16] INFO - 🔢 총 공고 수: 182067건 → 최대 페이지 수: 3642 페이지
[2025-07-19 06:00:16] INFO - 
📄 현재 페이지: 1
[2025-07-19 06:00:42] INFO - 0129 | 베이커리 뺑룸 | 강동구 개인 윈도우베이커리 뺑룸 생산직원 구인합니다:) | 8시간 전 등록
[2025-07-19 06:00:42] INFO - 0130 | ㈜코아티엠에스 | 구로 또는 산본센터 선택지원 / KT 인바운드상담 정규직 / 월 270만 이상 | 8시간 전 등록
[2025-07-19 06:00:42] INFO - 0131 | 블루웨일 키즈풀㈜ | [주 5일] 압구정 블루웨일 어린이수영장 남자강사 채용 | 8시간 전 등록
[2025-07-19 06:00:43] INFO - 0132 | 피플라이프㈜ | 용산 / 보험설계사 경력자 채용 [업계 다양한 DB 사용 가능] | 8시간 전 등록
[2025-07-19 06:00:43] INFO - 0133 | 피플라이프㈜ | [용산-직전 연봉 대비 지원금 지급] 인큐 사업단장/지점장 채용 공고 | 8시간 전 등록
[2025-07-19 06:00:43] INFO - 0134 | 인카금융서비스㈜ | 남양주-TOT본부장-입사지원금/DB 다양한지원-신입경력 재무설계사 채용 | 8시간 전 등록
[2025-07-19 06:00:43] INFO - 0135 | 인카금융서비스㈜ | 아산-TOT 본부장-입사지원금/DB 다양한지원-신입경력 재무설계사 채용 | 8시간 전 등록
[2025-07-19 06:00:43] INFO - 0136 | 인카금융서비스㈜ | [TOT 본부장-입사지원금/DB 다양한 지원] 신입/경력 재무설계사 채용 | 8시간 전 등록
[2025-07-19 06:00:43] INFO - 0137 | 에이아이에이프리미어파트너스㈜ | [남양주-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-19 06:00:43] INFO - 0138 | 고브이알 | [주식회사 고브이알] 전략기획/서비스기획/콘텐츠기획자 모집 | 8시간 전 등록
[2025-07-19 06:00:44] INFO - 0139 | 에이아이에이프리미어파트너스㈜ | [청담동-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-19 06:00:44] INFO - 0140 | 에이아이에이프리미어파트너스㈜ | [대구시-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-19 06:00:44] INFO - 0141 | 주식회사 두낫에프엔비 | 구미조돌칼국수에서 주방직원 모집합니다. | 8시간 전 등록
[2025-07-19 06:00:44] INFO - 0142 | 에이아이에이프리미어파트너스㈜ | [광주시-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-19 06:00:44] INFO - 0143 | 아이윌솔루션 | 현대백화점 천호점 커스텀 소품 스토어 매장 영업 및 관리 | 8시간 전 등록
[2025-07-19 06:00:44] INFO - 0144 | 굿리치 밸류지점 | [본사 직영 운영-조건 최고] 차세대 금융전문가 과정 공개 채용 | 8시간 전 등록
[2025-07-19 06:00:44] INFO - 0145 | 굿리치 밸류지점 | [강남역-다양한 DB/섭시드 지원] 개인/법인 컨설턴트 및 관리자 채용 | 8시간 전 등록
[2025-07-19 06:00:45] INFO - 0146 | 에이아이에이프리미어파트너스㈜ | [야당동-직전연봉132프로/리쿨비/노터치DB] 관리자/자산관리사 채용 | 8시간 전 등록
