[2025-07-13 06:00:01] INFO - 🔧 Logging initialized
[2025-07-13 06:00:02] INFO - 프로그램 시작됨
[2025-07-13 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-13 06:00:19] INFO - 🔢 총 공고 수: 178427건 → 최대 페이지 수: 3569 페이지
[2025-07-13 06:00:19] INFO - 
📄 현재 페이지: 1
[2025-07-13 06:00:48] INFO - 0136 | ㈜노바에이스엠 | 중국어 영상 편집/제작 업무 아르바이트 채용 | 11시간 전 등록
[2025-07-13 06:00:48] INFO - 0137 | 애니스튜디오 동탄 | 애니스튜디오 동탄점-(오산,수원,용인,화성)-베이비 앨범 수정 편집,출고 | 11시간 전 등록
[2025-07-13 06:00:48] INFO - 0138 | ㈜알비인터내셔널 | 담모라호텔앤리조트 객실 팀장 구인 | 11시간 전 등록
[2025-07-13 06:00:48] INFO - 0139 | 익스클루시브 | 중국인 영상편집자 구해요 | 11시간 전 등록
[2025-07-13 06:00:48] INFO - 0140 | ㈜알비인터내셔널 | 담모라호텔앤리조트 프런트 신입 주임급 구인 | 11시간 전 등록
[2025-07-13 06:00:48] INFO - 0141 | 보람상조피플㈜ | 평생직장을 원하시는 분 - 관리자(후보) | 11시간 전 등록
[2025-07-13 06:00:48] INFO - 0142 | 디자인 쉼, | 인테리어 마케팅 sns / 3d 설계 / 현장 지원 | 11시간 전 등록
[2025-07-13 06:00:49] INFO - 0143 | 닥터모락 수지성복역점 | 전문 두피관리사님을 채용합니다 | 11시간 전 등록
[2025-07-13 06:00:49] INFO - 0144 | ㈜디벨로펀 | [대원동 신규매장 : 두두댓 테이블] 신입 및 경력 조리사 모집 | 11시간 전 등록
[2025-07-13 06:00:49] INFO - 0145 | 한화갤러리아㈜ 명품관 | 한화갤러리아 명품관 VIP고객 퍼스널쇼퍼(PSR) 채용 | 11시간 전 등록
[2025-07-13 06:00:49] INFO - 0146 | 캐쥬얼리 | 오프라인셀렉트샵 (캐주얼리) 주니어 팀원 구인 | 11시간 전 등록
[2025-07-13 06:00:49] INFO - 0147 | ㈜더넥스트 | MICE사업 / 문화사업 기획자 (신입 및 경력) | 11시간 전 등록
[2025-07-13 06:00:49] INFO - 0148 | ㈜지오쿠치나 익선 | 익선동 카페 [익선풍경] 바리스타 직원 모집 | 11시간 전 등록
[2025-07-13 06:00:50] INFO - 0149 | 짝귀 | 주방직원을 찾습니다. | 11시간 전 등록
[2025-07-13 06:00:50] INFO - 0150 | ㈜메가팩 | 포장기계 출고정비팀 세팅 및 A/S 채용 공고 | 11시간 전 등록
[2025-07-13 06:00:50] INFO - ⏱ 2.55초 대기
[2025-07-13 06:00:53] INFO - 
📄 현재 페이지: 4
[2025-07-13 06:00:53] INFO - 0151 | 드림팩토리스튜디오 | [드림팩토리스튜디오 광주지점] Asset 아티스트 모집 (계약직) | 11시간 전 등록
[2025-07-13 06:00:53] INFO - 0152 | ㈜엠엠피 | [디지털트윈] 유니티 unity 개발자 | 11시간 전 등록
[2025-07-13 06:00:53] INFO - 0153 | ㈜지오쿠치나 익선 | 익선동 이탈리안레스토랑 지오쿠치나 익선점 홀 직원 모집 | 11시간 전 등록
[2025-07-13 06:00:53] INFO - 0154 | 흥국생명보험㈜ | [본사직영 영업실장/ 관리자급 모집] 업계1위 복합TM센터, 업무만족도 1위 | 11시간 전 등록
[2025-07-13 06:00:54] INFO - 0155 | 티아라 시그니처 | 베이비 연출 경력자알바구합니다 | 11시간 전 등록
[2025-07-13 06:00:54] INFO - 0156 | 펀빌코리아 | 의류프로모션 회사에서 경리를 모집합니다 | 11시간 전 등록
[2025-07-13 06:00:54] INFO - 0157 | 벌키 스포츠 | 하남 SK주니어나이츠 토요일 농구선생님을 모집합니다.70만 | 11시간 전 등록
[2025-07-13 06:00:54] INFO - 0158 | 문아트컴퍼니 | 예술활동증명 자료 모니터링 사무원(매니저) 채용 | 11시간 전 등록
[2025-07-13 06:00:54] INFO - 0159 | 젠틀한식탁 | 목동 이탈리안레스토랑 `젠틀한식탁` 에서 주방직원을 채용합니다. | 11시간 전 등록
[2025-07-13 06:00:54] INFO - 0160 | 보람상조피플㈜ | 보람상조피플 본사/ 특수사업부/ 특별 채용 합니다. | 11시간 전 등록
[2025-07-13 06:00:55] INFO - 0161 | 서울제빵소 광교점 | [서울제빵소 광교점] 샌드위치/샐러드 제조 파트타이머 구인 | 11시간 전 등록
[2025-07-13 06:00:55] INFO - 0162 | 엘브이성형외과의원 | [주5일] 신사역 엘브이성형외과 간호조무사 채용 | 11시간 전 등록
[2025-07-13 06:00:55] INFO - 0163 | 신한라이프 | 신한라이프 인사채용 관리자 모집[신입정착지원금] | 12시간 전 등록
[2025-07-13 06:00:55] INFO - 0164 | 헤비스테이크 대학로점 | (주)헤비스테이크 대학로점 주4일 STAFF 채용공고(각종수당 및 휴가 별도) | 12시간 전 등록
[2025-07-13 06:00:55] INFO - 0165 | ㈜바이네츄럴 | 남양주 테이블스 라운지 홀직원/바리스타 모집 | 12시간 전 등록
[2025-07-13 06:00:55] INFO - 0166 | ㈜지네이션 | [양재]이탈리안 레스토랑`브리즈`홀직원(주5일근무/일요일고정휴무) | 12시간 전 등록
[2025-07-13 06:00:55] INFO - 0167 | 신한생명보험 | [본사직영 콜센터 직원 모집] 안정적인 급여 및 교육비/ 정착지원금 지급 | 12시간 전 등록
[2025-07-13 06:00:56] INFO - 0168 | 어니스크 | 어니스크 장성점 매장 정직원 모집 | 12시간 전 등록
