[2025-07-20 06:00:01] INFO - 🔧 Logging initialized
[2025-07-20 06:00:02] INFO - 프로그램 시작됨
[2025-07-20 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-20 06:00:20] INFO - 🔢 총 공고 수: 177882건 → 최대 페이지 수: 3558 페이지
[2025-07-20 06:00:20] INFO - 
📄 현재 페이지: 1
[2025-07-20 06:00:49] INFO - 0143 | ㈜에그팜 | 총무 및 가맹점 관리 담당자 모집(물품 배송 업무 포함) | 9시간 전 등록
[2025-07-20 06:00:50] INFO - 0144 | ㈜에그팜 | 회계 및 경리 담당자 모집 | 9시간 전 등록
[2025-07-20 06:00:50] INFO - 0145 | ㈜뉴비즈원 | [주5일/내근/정규직] DJI 영업지원스텝 채용 | 9시간 전 등록
[2025-07-20 06:00:50] INFO - 0146 | ㈜뉴비즈원 | [주5일/정규직] DJI 수도권 영업관리자 채용 | 9시간 전 등록
[2025-07-20 06:00:50] INFO - 0147 | ㈜지티코리아 | 무역및 영업관리(영어회화가능자및 신입사원환영합니다) | 9시간 전 등록
[2025-07-20 06:00:50] INFO - 0148 | ㈜채가 | 구테로이테 사당점에서 함께 성장해 갈 인재를 찾습니다. | 9시간 전 등록
[2025-07-20 06:00:50] INFO - 0149 | 미래공인중개사사무소 | 부동산중개 / 빌라 매매.분양 / 비율 6-70퍼센트 / 광고 빵빵 / 경력 무관 | 9시간 전 등록
[2025-07-20 06:00:51] INFO - 0150 | 키나 | 성북동 키나 연회부 팀장 | 9시간 전 등록
[2025-07-20 06:00:51] INFO - ⏱ 1.80초 대기
[2025-07-20 06:00:53] INFO - 
📄 현재 페이지: 4
[2025-07-20 06:00:53] INFO - 0151 | 텐엑스코퍼레이션 | [왓에버타코 홍대점] 주5일 정직원 채용 | 9시간 전 등록
[2025-07-20 06:00:53] INFO - 0152 | 갱스덕 | 수원 인계동 갱스덕 직원 공고 | 9시간 전 등록
[2025-07-20 06:00:53] INFO - 0153 | 관촌실업㈜ | 청계천 베네치아 메가몰 보안사원 모집(주간고정/ 주5일근무) | 9시간 전 등록
[2025-07-20 06:00:54] INFO - 0154 | 인주 | [인주 한옥점] 커피운영부 팀원 신규 채용 (바리스타.매장운영) | 10시간 전 등록
[2025-07-20 06:00:54] INFO - 0155 | ㈜호텔폭스아트홀 | ㈜호텔폭스아트홀 프론트데스크 F/O (Reception) 채용 | 10시간 전 등록
[2025-07-20 06:00:54] INFO - 0156 | 히로아키 | 스시히로아키 카운터셰프 모집합니다 | 10시간 전 등록
[2025-07-20 06:00:54] INFO - 0157 | 미반 미역국 정찬 | 미반 미역국정찬(목동점) 주방 정직원 구함 | 10시간 전 등록
[2025-07-20 06:00:54] INFO - 0158 | ㈜예진 | [경력] 백엔드 (AI API 통합) 개발자 | 10시간 전 등록
[2025-07-20 06:00:54] INFO - 0159 | ㈜예진 | [경력2년이상] AI 에이전트 전담 개발자 (Agent Orchestration Engineer) | 10시간 전 등록
[2025-07-20 06:00:55] INFO - 0160 | ㈜예진 | 프론트엔드 개발자 (React / Next.js / Python) | 10시간 전 등록
[2025-07-20 06:00:55] INFO - 0161 | 오리콘 | 플라스틱 사출 엔지니어 모집 | 10시간 전 등록
[2025-07-20 06:00:55] INFO - 0162 | ㈜예진 | [경력3년이상] 전략기획실 직원 채용 | 10시간 전 등록
[2025-07-20 06:00:55] INFO - 0163 | ㈜예진 | [경력]경영지원실 재무회계팀 | 10시간 전 등록
[2025-07-20 06:00:55] INFO - 0164 | 홍대구루메&텐큐 | 홍대구루메 주방, 홀서빙 알바, 5,6일 정직원 구합니다. | 10시간 전 등록
[2025-07-20 06:00:55] INFO - 0165 | 근린커피 | [근린커피 상암점] 경력사원 모집 | 10시간 전 등록
[2025-07-20 06:00:55] INFO - 0166 | 홍대구루메 | 홍대구루메 주방,홀 주5,6일 정직원 구합니다 | 10시간 전 등록
[2025-07-20 06:00:56] INFO - 0167 | ㈜바른식방 | 바른식방(소규모 HACCP) 생산팀 신규/경력 채용 | 10시간 전 등록
