[2025-06-28 06:00:02] INFO - 🔧 Logging initialized
[2025-06-28 06:00:02] INFO - 프로그램 시작됨
[2025-06-28 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-06-28 06:00:40] WARNING - ⚠️ 크롤러 실행 중 예외 발생: TimeoutError - Page.wait_for_selector: Timeout 30000ms exceeded.
Call log:
  - waiting for locator("select#orderTab") to be visible

[2025-06-28 06:00:40] INFO - 🔁 크롤러를 다시 실행합니다...
[2025-06-28 06:00:40] INFO - 
🚀 크롤러 실행 시도 2/3
[2025-06-28 06:00:54] INFO - 🔢 총 공고 수: 177674건 → 최대 페이지 수: 3554 페이지
[2025-06-28 06:00:54] INFO - 
📄 현재 페이지: 1
[2025-06-28 06:01:10] INFO - 0077 | 에이스휴먼파워㈜ | [성수역/패션플랫폼] 무신사 콘텐츠 디자이너 대규모 채용 | 5시간 전 등록
[2025-06-28 06:01:10] INFO - 0078 | ㈜케이티씨에스 | [kt cs 계약직/6개월] LG전자매니저운영센터 안전관리자 모집 | 5시간 전 등록
[2025-06-28 06:01:10] INFO - 0079 | 동호에이치알㈜ | [여의도/외국계 중견 코스메틱기업] 브랜드 익스피리언스(BX) 마케터 채용 | 5시간 전 등록
[2025-06-28 06:01:10] INFO - 0080 | ㈜잡스테이션 | [기숙사제공] 뉴스프링빌상주골프장-코스관리 모집 | 5시간 전 등록
[2025-06-28 06:01:10] INFO - 0081 | ㈜발렉스서비스 | [신도림/근무환경좋아요] 토스인슈어런스 보험총무직 채용 | 5시간 전 등록
[2025-06-28 06:01:11] INFO - 0082 | ㈜잡스테이션 | [기숙사제공/신입가] 세종에머슨CC-식음료(F&B) 채용 | 5시간 전 등록
[2025-06-28 06:01:11] INFO - 0083 | 동호에이치알㈜ | [현대건설/안국역/대기업스펙] 팀 사무행정 상시채용(ERP 우대) | 5시간 전 등록
[2025-06-28 06:01:11] INFO - 0084 | ㈜발렉스서비스 | [문래/장기근속가능/정착수당] 삼성카드 가맹점 신규등록팀 사무직 채용 | 5시간 전 등록
[2025-06-28 06:01:11] INFO - 0085 | ㈜메타엠 | [정착50만/사무직] 법인카드 운영팀 모집(영업X,콜업무X) | 5시간 전 등록
[2025-06-28 06:01:11] INFO - 0086 | ㈜케이티아이에스 | [3개월 / 주5일] KT텔레캅 단기 상담사 채용 | 5시간 전 등록
[2025-06-28 06:01:11] INFO - 0087 | ㈜엠제이플렉스 | [월230만/오후근무/상암] 제작지원부 인코딩/인제스트 (콘텐츠 편집) | 5시간 전 등록
[2025-06-28 06:01:12] INFO - 0088 | 퍼펙트커리어㈜ | ㅣ상여금300ㅣ월450 OKㅣ물량OKㅣPCB 드릴-라우터-현미경검사 공채ㅣ | 5시간 전 등록
[2025-06-28 06:01:12] INFO - 0089 | ㈜아데코코리아 | [광화문/라이나생명] 디지털 채널/플랫폼 운영 담당자 채용 | 5시간 전 등록
[2025-06-28 06:01:12] INFO - 0090 | 아이비커리어㈜ | [육아휴직대체]HD현대인프라코어 무역 사무직 채용 | 5시간 전 등록
[2025-06-28 06:01:12] INFO - 0091 | ㈜엠제이플렉스 | [상암/YTN 라디오/월243만] 광고 및 협찬 회계 정산 및 사무 지원 | 5시간 전 등록
[2025-06-28 06:01:12] INFO - 0092 | ㈜유니에스 | [건국대학교병원] 외래 진료보조 사원 모집 | 5시간 전 등록
[2025-06-28 06:01:12] INFO - 0093 | ㈜네트론 | [가디역도보5분]TM전문회사 부서별 사원 모집(근무시간 조정/급여협의) | 5시간 전 등록
[2025-06-28 06:01:13] INFO - 0094 | 인터프로셀㈜ | [대기업/의왕/주5일] 현대로템 플랫폼개발팀 사무보조 채용 | 5시간 전 등록
[2025-06-28 06:01:13] INFO - 0095 | 에이스휴먼파워㈜ | [제로페이/3개월단기계약/동대입구역] 서비스운영팀 상담직 채용(7/2마감) | 5시간 전 등록
[2025-06-28 06:01:13] INFO - 0096 | ㈜잡스테이션 | [이븐데일CC(청주인근)-1인1실아파트기숙사] 프런트 모집 | 5시간 전 등록
[2025-06-28 06:01:13] INFO - 0097 | 에이스휴먼파워㈜ | 신한카드 역삼 [심야/카드분실/도난접수] / 주 3일 요일 고정 / 대표전화X | 5시간 전 등록
[2025-06-28 06:01:13] INFO - 0098 | 에이스휴먼파워㈜ | 신한카드 역삼역 [야간/카드분실/도난접수 인바운드] 신입 환영/ 주5일출근 | 5시간 전 등록
[2025-06-28 06:01:13] INFO - 0099 | ㈜프로에스콤 | [쿠팡 서울 물류센터 보안사원 채용] -월246만 / 8호선 송파구 장지역 | 5시간 전 등록
[2025-06-28 06:01:13] INFO - 0100 | 콘센트릭스서비스코리아(유) | [월250만 이상/세일즈X] 글로벌 전기차 고객센터 상담원 모집 | 5시간 전 등록
[2025-06-28 06:01:13] INFO - ⏱ 2.96초 대기
[2025-06-28 06:01:17] INFO - 
📄 현재 페이지: 3
