[2025-07-22 06:00:02] INFO - 🔧 Logging initialized
[2025-07-22 06:00:02] INFO - 프로그램 시작됨
[2025-07-22 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-22 06:00:16] INFO - 🔢 총 공고 수: 176381건 → 최대 페이지 수: 3528 페이지
[2025-07-22 06:00:16] INFO - 
📄 현재 페이지: 1
[2025-07-22 06:00:42] INFO - 0129 | ㈜쓰리빌리언 | 생명과학자 | 8시간 전 등록
[2025-07-22 06:00:42] INFO - 0130 | 피플라이프㈜ | 용산 / 보험설계사 경력자 채용 [업계 다양한 DB 사용 가능] | 8시간 전 등록
[2025-07-22 06:00:42] INFO - 0131 | ㈜플러스엑스팜 | [평택] (주)플러스엑스팜 상담영양사 모집 / 경력직 채용 | 8시간 전 등록
[2025-07-22 06:00:42] INFO - 0132 | 에이스경영자문그룹 | 전화 섭외사원 모집(정부 지원 사업 방문 약속) / 기본급 ,인센티브 지급 | 8시간 전 등록
[2025-07-22 06:00:42] INFO - 0133 | 피플라이프㈜ | [용산-직전 연봉 대비 지원금 지급] 인큐 사업단장/지점장 채용 공고 | 8시간 전 등록
[2025-07-22 06:00:42] INFO - 0134 | 에이스경영자문그룹 | 장기요양기관에서 기장 및 사무, 사회복지 업무 하셨던 분 | 8시간 전 등록
[2025-07-22 06:00:43] INFO - 0135 | ㈜지네이션 | [양재]중식당`제제`양재점 주방 경력 직원/주5일 근무/일요일 고정휴무 | 8시간 전 등록
[2025-07-22 06:00:43] INFO - 0136 | 신한생명보험 | [본사직영 콜센터 직원 모집] 안정적인 급여 및 교육비/ 정착지원금 지급 | 8시간 전 등록
[2025-07-22 06:00:43] INFO - 0137 | 에이아이에이프리미어파트너스㈜ | [남양주-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-22 06:00:43] INFO - 0138 | 주식회사 더 스윙 | [더스윙/부산] 킥보드/자전거 수리 및 경정비 (주간 모집) | 8시간 전 등록
[2025-07-22 06:00:43] INFO - 0139 | 에이아이에이프리미어파트너스㈜ | [청담동-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-22 06:00:43] INFO - 0140 | 큐비트온㈜ | 자바(Java) 웹개발/백엔드/ 강사 채용 | 8시간 전 등록
[2025-07-22 06:00:43] INFO - 0141 | 에이아이에이프리미어파트너스㈜ | [대구시-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-22 06:00:44] INFO - 0142 | 에이아이에이프리미어파트너스㈜ | [광주시-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-22 06:00:44] INFO - 0143 | 흥국생명보험㈜ | [본사직영 영업실장/ 관리자급 모집] 업계1위 복합TM센터, 업무만족도 1위 | 8시간 전 등록
[2025-07-22 06:00:44] INFO - 0144 | ㈜지네이션 | [양재]이탈리안 레스토랑`브리즈`홀직원(주5일근무/일요일휴무보장) | 8시간 전 등록
[2025-07-22 06:00:44] INFO - 0145 | 흥국생명보험㈜ | [2025년 본사직영 신규채용] 기본급300. 정착지윈금지급. 복합TM센터 | 8시간 전 등록
[2025-07-22 06:00:44] INFO - 0146 | ㈜쓰리빌리언 | 글로벌 CX 매니저 | 8시간 전 등록
[2025-07-22 06:00:44] INFO - 0147 | (주)비비오코퍼레이션 | (주)비비오코퍼레이션에서 함께할 인재를 모십니다 | 8시간 전 등록
[2025-07-22 06:00:44] INFO - 0148 | 에이치아이엠(H.I.M) | 환풍기(가전) 설치 및 AS 엔지니어 모집 | 8시간 전 등록
[2025-07-22 06:00:45] INFO - 0149 | 굿리치 밸류지점 | [본사 직영 운영-조건 최고] 차세대 금융전문가 과정 공개 채용 | 8시간 전 등록
[2025-07-22 06:00:45] INFO - 0150 | 굿리치 밸류지점 | [강남역-다양한 DB/섭시드 지원] 개인/법인 컨설턴트 및 관리자 채용 | 8시간 전 등록
[2025-07-22 06:00:45] INFO - ⏱ 3.40초 대기
[2025-07-22 06:00:49] INFO - 
📄 현재 페이지: 4
[2025-07-22 06:00:49] INFO - 0151 | 유에이치플랫 더 송도 | UH 플랫 시그니처 강남 SOUND OF APPLE(브런치 까페) 야간매니저 채용 공고 | 8시간 전 등록
[2025-07-22 06:00:49] INFO - 0152 | 에이아이에이프리미어파트너스㈜ | [청담동-직전연봉132프로/리쿨비/노터치DB] 관리자/자산관리사 채용 | 8시간 전 등록
[2025-07-22 06:00:49] INFO - 0153 | 에이아이에이프리미어파트너스㈜ | [야당동-직전연봉132프로/리쿨비/노터치DB] 관리자/자산관리사 채용 | 8시간 전 등록
[2025-07-22 06:00:49] INFO - 0154 | 갓잇 고양화정점 (GOD EAT) | [정직원주5일] 고양시 덕양구 갓잇(GOD EAT) 고양화정점 | 8시간 전 등록
[2025-07-22 06:00:50] INFO - 0155 | 유어타임리스(Yourtimeless) | 웨딩포토그래퍼 신입 모집합니다. | 8시간 전 등록
[2025-07-22 06:00:50] INFO - 0156 | 에이아이에이프리미어파트너스㈜ | [범어동-직전연봉132프로/리쿨비/노터치DB] 관리자/자산관리사 채용 | 8시간 전 등록
[2025-07-22 06:00:50] INFO - 0157 | ㈜쓰리빌리언 | AI Engineer | 8시간 전 등록
