[2025-07-18 06:00:02] INFO - 🔧 Logging initialized
[2025-07-18 06:00:02] INFO - 프로그램 시작됨
[2025-07-18 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-18 06:00:39] WARNING - ⚠️ 크롤러 실행 중 예외 발생: TimeoutError - Page.wait_for_selector: Timeout 30000ms exceeded.
Call log:
  - waiting for locator("select#orderTab") to be visible

[2025-07-18 06:00:39] INFO - 🔁 크롤러를 다시 실행합니다...
[2025-07-18 06:00:39] INFO - 
🚀 크롤러 실행 시도 2/3
[2025-07-18 06:01:15] WARNING - ⚠️ 크롤러 실행 중 예외 발생: TimeoutError - Page.wait_for_selector: Timeout 30000ms exceeded.
Call log:
  - waiting for locator("select#orderTab") to be visible

[2025-07-18 06:01:15] INFO - 🔁 크롤러를 다시 실행합니다...
[2025-07-18 06:01:15] INFO - 
🚀 크롤러 실행 시도 3/3
[2025-07-18 06:01:29] INFO - 🔢 총 공고 수: 182866건 → 최대 페이지 수: 3658 페이지
[2025-07-18 06:01:29] INFO - 
📄 현재 페이지: 1
[2025-07-18 06:01:43] INFO - 0064 | ㈜엠제이플렉스 | [미래에셋증권/월250만/운전능숙자] 예탁결제팀 사무행정 지원 채용 | 5시간 전 등록
[2025-07-18 06:01:43] INFO - 0065 | ㈜메타엠 | [3일교육/오전,오후선택] 티맵주차장 정기권 구입,결제 문의 | 5시간 전 등록
[2025-07-18 06:01:43] INFO - 0066 | ㈜유원커리어센터 | [LG이노텍 구미공장/통근버스/월390만]스마트폰 부품 및 제조검사 | 5시간 전 등록
[2025-07-18 06:01:43] INFO - 0067 | ㈜에프앤씨시스템 | [아워홈] 평창휴게소 인천방향 관리담당자 모집 | 5시간 전 등록
[2025-07-18 06:01:44] INFO - 0068 | ㈜에스이에이치인터내셔널 | [쥬비스 의정부점] 고객응대 및 기기관리 담당자 모집 (평일/8시간) | 5시간 전 등록
[2025-07-18 06:01:44] INFO - 0069 | 리드커리어 주식회사 | 벤츠 공식딜러사 한성자동차 본사 회계/자금담당자 채용 | 5시간 전 등록
[2025-07-18 06:01:44] INFO - 0070 | ㈜케이티아이에스 | [서울아산병원] 예약 상담사 채용 | 5시간 전 등록
[2025-07-18 06:01:44] INFO - 0071 | 프리머스HR㈜ | [영업X / 야근X / 주말휴무 / 신입가능]신한카드 대표번호 인바운드 상담원 | 5시간 전 등록
[2025-07-18 06:01:44] INFO - 0072 | 서브원 | 서브원 2025년 하반기 신입/경력 사원 채용 | 5시간 전 등록
[2025-07-18 06:01:44] INFO - 0073 | ㈜케이티씨에스 | [초역세권/평일근무/월263만] 과학기술인공제회 상담사 채용 | 5시간 전 등록
