[2025-06-26 06:00:01] INFO - 🔧 Logging initialized
[2025-06-26 06:00:01] INFO - 프로그램 시작됨
[2025-06-26 06:00:14] INFO - 🔢 총 공고 수: 175931건 → 최대 페이지 수: 3519 페이지
[2025-06-26 06:00:14] INFO - 
📄 현재 페이지: 1
[2025-06-26 06:00:39] INFO - 0110 | 한솔교육천안평택영플지사 | [월250-300만이상/아산점]한글놀이교사모집 - 하루 6시간 3일 수업 / 5일 수업 선택 가능 경단/주부/초보 | 5시간 전 등록
[2025-06-26 06:00:39] INFO - 0111 | 한솔교육천안평택영플지사 | [월250-300만이상/평택] 플라톤 독서토론논술교사 모집 - 하루 6시간 3일 수업 / 5일 수업 선택 가능 경단/ | 5시간 전 등록
[2025-06-26 06:00:39] INFO - 0112 | ㈜무브엔 | 각 분야 경력직 채용 (온라인 마케팅/회계 해외 구매 관리) | 5시간 전 등록
[2025-06-26 06:00:39] INFO - 0113 | 파브리키친 | [이탈리아 레스토랑] 용산구 파브리키친 홀 직원, 주방 | 5시간 전 등록
[2025-06-26 06:00:39] INFO - 0114 | KPX케미칼㈜ | 2025년 하반기 KPX케미칼㈜ 각 부문별 채용 | 5시간 전 등록
[2025-06-26 06:00:40] INFO - 0115 | 휴인 | 동탄영천동K/자율퇴근제/상담직/고객응대/고객관리상담/동탄3503 | 5시간 전 등록
[2025-06-26 06:00:40] INFO - 0116 | 코오롱엘에스아이㈜ | [오목교역 부근] 미화 사원 채용 | 5시간 전 등록
[2025-06-26 06:00:40] INFO - 0117 | 동원그룹 | [동원에프앤비] 해외영업(동남아 담당) 경력직 모집 [서울 양재] | 6시간 전 등록
[2025-06-26 06:00:40] INFO - 0118 | ㈜더에임 | AI 를 활용한 비주얼 콘텐츠 포지션 (이미지, 영상 제작)을 모집합니다. | 7시간 전 등록
[2025-06-26 06:00:40] INFO - 0119 | 전풍농산㈜ | [식품공장] 생산직원 채용 | 7시간 전 등록
[2025-06-26 06:00:40] INFO - 0120 | 리프트리성형외과 | 서면 리프트리성형외과 상담실장 채용 | 7시간 전 등록
[2025-06-26 06:00:41] INFO - 0121 | 더플랜비 | 세무/회계/경리 업무지원자 모집 | 7시간 전 등록
[2025-06-26 06:00:41] INFO - 0122 | 더플랜비 | 세무/회계/기타 업무 보조 | 7시간 전 등록
[2025-06-26 06:00:41] INFO - 0123 | ㈜유니티크(UNITIQUE Co., Ltd.) | [광고대행사] 인플루언서 마케팅 | 7시간 전 등록
[2025-06-26 06:00:41] INFO - 0124 | 에이아이에이프리미어파트너스㈜ | AIA 생명 자사형 GA, AIA프리미어파트너스에서 신입&경력 모집합니다. | 7시간 전 등록
[2025-06-26 06:00:41] INFO - 0125 | 스타트윈㈜ | [가산] 인터넷 가입유치 상담원 / 수습기간 이후 기본급 400만 | 7시간 전 등록
[2025-06-26 06:00:41] INFO - 0126 | ㈜엑시트 파트너스 | 강남 피부 클리닉 총괄/상담실장님을 기다립니다 | 7시간 전 등록
[2025-06-26 06:00:41] INFO - 0127 | 스타트윈㈜ | [가산] 인터넷 가입유치 상담원 / 수습기간 이후 기본급 400만 추가 인센 | 7시간 전 등록
[2025-06-26 06:00:42] INFO - 0128 | 부뜰정보시스템 | RPA 경력자 정규직(개발자/PL) 모집 | 8시간 전 등록
[2025-06-26 06:00:42] INFO - 0129 | 에이스경영자문그룹 | 전화 섭외사원 모집(정부 지원 사업 방문 약속) / 기본급 ,인센티브 지급 | 8시간 전 등록
[2025-06-26 06:00:42] INFO - 0130 | 행복추구 패러다임㈜kcms | 판교 고객사 출입관리시스템 개발 (s00) | 8시간 전 등록
[2025-06-26 06:00:42] INFO - 0131 | 신한생명보험 | [본사직영 콜센터 직원 모집] 안정적인 급여 및 교육비/ 정착지원금 지급 | 8시간 전 등록
[2025-06-26 06:00:42] INFO - 0132 | 이안시스템 | 드레스룸 시스템 autocad 직원모집 | 8시간 전 등록
[2025-06-26 06:00:42] INFO - 0133 | 흥국생명보험㈜ | [본사직영 영업실장/ 관리자급 모집] 업계1위 복합TM센터, 업무만족도 1위 | 8시간 전 등록
[2025-06-26 06:00:42] INFO - 0134 | 에이아이프리미어파트너스㈜ | [천안시-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-06-26 06:00:43] INFO - 0135 | 흥국생명보험㈜ | [2025년 본사직영 신규채용] 기본급300. 정착지윈금지급. 복합TM센터 | 8시간 전 등록
[2025-06-26 06:00:43] INFO - 0136 | 에이아이프리미어파트너스㈜ | [부천시-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-06-26 06:00:43] INFO - 0137 | 에이아이프리미어파트너스㈜ | [서대문역-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-06-26 06:00:43] INFO - 0138 | 행복추구 패러다임㈜kcms | 문래역 협력사 영업지원시스템 리뉴얼 (s00) | 8시간 전 등록
[2025-06-26 06:00:43] INFO - 0139 | 에이아이프리미어파트너스㈜ | [야탑역-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-06-26 06:00:43] INFO - 0140 | 에이아이프리미어파트너스㈜ | [부평역-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-06-26 06:00:44] INFO - 0141 | 사랑모아금웅서비스박숙영 | [지점장/관리자급 모집] 파격적인 지원/ 법인카드 지급/ 쾌적한 업무환경 | 8시간 전 등록
[2025-06-26 06:00:44] INFO - 0142 | 부뜰정보시스템 | 인사 총무 담당자(정규직) 채용 | 8시간 전 등록
[2025-06-26 06:00:44] INFO - 0143 | 프라임에셋 | 병원인하우스 근무하실분 모집/ 경단녀.투잡가능/ 온라인영업 가능 | 8시간 전 등록
[2025-06-26 06:00:44] INFO - 0144 | 캐치업왁싱청라점 | 캐치업 왁싱 청라점/김포점에서 초보,경력자 선생님 구합니다.(월 8회 휴무 | 8시간 전 등록
[2025-06-26 06:00:44] INFO - 0145 | 한화생명금융서비스㈜ | 충청남도-[기본급/인센티브/보너스 지급] 자산관리사 및 관리자 모집 | 8시간 전 등록
[2025-06-26 06:00:44] INFO - 0146 | 한화생명금융서비스㈜ | 부산시-[기본급/인센티브/보너스 지급] 자산관리사 및 관리자 모집 | 8시간 전 등록
[2025-06-26 06:00:44] INFO - 0147 | 빽다방베이커리제주사수본점 | 빽다방 음료파트 정직원 채용(음료제조, 고객응대, 매장위생관리) | 8시간 전 등록
[2025-06-26 06:00:45] INFO - 0148 | 한화생명금융서비스㈜ | 부천시-[기본급/인센티브/보너스 지급] 자산관리사 및 관리자 모집 | 8시간 전 등록
[2025-06-26 06:00:45] INFO - 0149 | 24시노아동물메디컬센터 | 24시 노아동물메디컬센터 수의테크니션 선생님 모집 | 8시간 전 등록
[2025-06-26 06:00:45] INFO - 0150 | ㈜누가의료기 | 홍보팀 디자이너 직원 모집 | 8시간 전 등록
[2025-06-26 06:00:45] INFO - ⏱ 2.99초 대기
[2025-06-26 06:00:48] INFO - 
📄 현재 페이지: 4
[2025-06-26 06:00:49] INFO - 0151 | 에이아이에이프리미어파트너스㈜ | [청담동-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-06-26 06:00:49] INFO - 0152 | 이수정보㈜ | [과천] 엔틱사업 구축(DW/고급) | 8시간 전 등록
