[2025-07-09 06:00:01] INFO - 🔧 Logging initialized
[2025-07-09 06:00:02] INFO - 프로그램 시작됨
[2025-07-09 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-09 06:00:15] INFO - 🔢 총 공고 수: 179946건 → 최대 페이지 수: 3599 페이지
[2025-07-09 06:00:15] INFO - 
📄 현재 페이지: 1
[2025-07-09 06:00:33] INFO - 0087 | 셀렉트스타 주식회사 | [신입·경력] Data Assistant | 5시간 전 등록
[2025-07-09 06:00:33] INFO - 0088 | ㈜일화 | ㈜일화 신입 / 경력 사원 모집 | 5시간 전 등록
[2025-07-09 06:00:34] INFO - 0089 | 한국투자증권㈜ | FY2025 한국투자증권 퇴직연금 업무지원(RK) 전문직급 공개채용 | 5시간 전 등록
[2025-07-09 06:00:34] INFO - 0090 | (의)대진의료재단분당제생병원 | 분당제생병원 원무관리팀 행정직 모집 | 5시간 전 등록
[2025-07-09 06:00:34] INFO - 0091 | ㈜일룸엔데스커 | 일룸 제주 가구판매 영업사원을 모집합니다 | 5시간 전 등록
[2025-07-09 06:00:34] INFO - 0092 | ㈜케이원 | [케이원] IT헬프데스크 원격업무 및 PC OA 유지보수 모집 (정규직) | 5시간 전 등록
[2025-07-09 06:00:34] INFO - 0093 | ㈜케이원 | 청주공항 수속시스템 유지보수 인력 모집 (정규직) | 5시간 전 등록
[2025-07-09 06:00:34] INFO - 0094 | 밤바다 | 유튜브 쇼츠 편집자님들 모십니다.(재택/경력무관/프리랜서) | 6시간 전 등록
[2025-07-09 06:00:35] INFO - 0095 | 화이트셔츠커피로스터스 | 화이트셔츠커피 주말 파트타이머 채용공고 | 6시간 전 등록
[2025-07-09 06:00:35] INFO - 0096 | ㈜제이에스하우징 | [청수당] 바리스타 크루 채용 | 6시간 전 등록
[2025-07-09 06:00:35] INFO - 0097 | ㈜지디엠 | 온라인 쇼핑몰 운영자 모집 | 7시간 전 등록
[2025-07-09 06:00:35] INFO - 0098 | 오춘자비어와남포떡볶이 | 백양숮불갈비(구 춘자비어) 직원 및 아르바이트 모집 | 7시간 전 등록
[2025-07-09 06:00:35] INFO - 0099 | 테라산부인과의원 | 동탄호수공원 산부인과 진료보조 선생님 모십니다. 자격증 필요 없습니다. | 7시간 전 등록
[2025-07-09 06:00:35] INFO - 0100 | 미소팜㈜ | 미래의 제약회사 미소팜(주)에서 구강용품 개발 팀장 & 팀원을 모집합니다. | 7시간 전 등록
[2025-07-09 06:00:35] INFO - ⏱ 2.05초 대기
[2025-07-09 06:00:38] INFO - 
📄 현재 페이지: 3
[2025-07-09 06:00:38] INFO - 0101 | 자마이카GDR골프아카데미 화곡점 | 자마이카 골프아카데미 안내 회원상담원 구합니다. | 7시간 전 등록
[2025-07-09 06:00:38] INFO - 0102 | 파이비어스 | 데비파이 프로덕트 디자이너 채용 | 7시간 전 등록
[2025-07-09 06:00:39] INFO - 0103 | 365서울수치과 | 365서울수치과 진료실 스텝 모집합니다 | 7시간 전 등록
[2025-07-09 06:00:39] INFO - 0104 | ㈜데이원컴퍼니 | [패스트캠퍼스] 브랜드 콘텐츠 디자이너 | 7시간 전 등록
[2025-07-09 06:00:39] INFO - 0105 | 나다움단지내공인중개사사무소 | 여의도 마포 오피스텔 입주장 중개보조원 모집 | 7시간 전 등록
[2025-07-09 06:00:39] INFO - 0106 | 레피듀케이션 | 웹서비스 플랫폼 개발 기획자 | 7시간 전 등록
[2025-07-09 06:00:39] INFO - 0107 | 광화문한상 | 한식레스토랑 광화문한상에서 새로운 주방 직원을 모집합니다. | 7시간 전 등록
[2025-07-09 06:00:39] INFO - 0108 | 광화문한상 | 한식레스토랑 광화문한상 주방장(헤드쉐프) 채용 | 7시간 전 등록
[2025-07-09 06:00:40] INFO - 0109 | 더포스영수학원 | 수학강의 경력자분 모십니다 | 7시간 전 등록
[2025-07-09 06:00:40] INFO - 0110 | 광화문한상 | 한식 레스토랑 광화문한상에서 함께 할 홀직원을 모집합니다. | 7시간 전 등록
[2025-07-09 06:00:40] INFO - 0111 | 광화문한상 | 한식 레스토랑 광화문한상에서 함께 할 홀 아르바이트를 모집합니다. | 7시간 전 등록
[2025-07-09 06:00:40] INFO - 0112 | 데이지세무회계 | [인천청라] 세무사사무실 기장 및 조정업무 경력직 모십니다. | 7시간 전 등록
[2025-07-09 06:00:40] INFO - 0113 | ㈜컬쳐커넥트 | 글로벌 쇼핑몰 운영 관리 및 마케터 모집 (경력직) | 7시간 전 등록
[2025-07-09 06:00:40] INFO - 0114 | ㈜피엠에스 | [여의도] 증권사 시스템개발 모집 공고[7월중-장기] | 7시간 전 등록
[2025-07-09 06:00:41] INFO - 0115 | ㈜스페이스원 | 고객의 눈을 사로잡을 가구 브랜드 웹디자이너 채용 | 8시간 전 등록
[2025-07-09 06:00:41] INFO - 0116 | 에이아이프리미어파트너스㈜ | [천안시-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-09 06:00:41] INFO - 0117 | ㈜위즈아이앤씨 | [을지로] 하나은행 퇴직연금시스템 구축 (JAVA / React,js) | 8시간 전 등록
[2025-07-09 06:00:41] INFO - 0118 | ㈜씨앤코컴퍼니 | 카페 프랜차이즈 신규사업 베이커리 담당자(SV) 모집 | 8시간 전 등록
[2025-07-09 06:00:41] INFO - 0119 | 에이아이프리미어파트너스㈜ | [부천시-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-09 06:00:41] INFO - 0120 | ㈜위즈아이앤씨 | [군산] 두산 퓨얼셀 MES시스템 구축 건 (C#) | 8시간 전 등록
[2025-07-09 06:00:41] INFO - 0121 | 대상상사 | 대상상사(청정원 계양부평대리점) 신선 납품/영업사원 모집(배송,배달,납품 | 8시간 전 등록
[2025-07-09 06:00:42] INFO - 0122 | 에이아이프리미어파트너스㈜ | [서대문역-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-09 06:00:42] INFO - 0123 | 무색 MUSAEK | 굿즈 / 디자인 보조 단기 알바 소품샵 창업 관심자 우대 / 성수 근무 | 8시간 전 등록
[2025-07-09 06:00:42] INFO - 0124 | ㈜위즈아이앤씨 | (기흥) HL홀딩스 데이터센터 서버 운영 모집 건 | 8시간 전 등록
[2025-07-09 06:00:42] INFO - 0125 | 에이아이프리미어파트너스㈜ | [야탑역-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-09 06:00:42] INFO - 0126 | ㈜위즈아이앤씨 | (오금) 퍼시스 ERP 시스템 구축 (Next.js, Typescrit, axios, 퍼블리싱) | 8시간 전 등록
[2025-07-09 06:00:42] INFO - 0127 | 에이스경영자문그룹 | 전화 섭외사원 모집(정부 지원 사업 방문 약속) / 기본급 ,인센티브 지급 | 8시간 전 등록
[2025-07-09 06:00:43] INFO - 0128 | 에이아이프리미어파트너스㈜ | [부평역-직전연봉 130프로/리쿨비450만] 지점장,사업단장,본부장 채용 | 8시간 전 등록
[2025-07-09 06:00:43] INFO - 0129 | 에이스경영자문그룹 | 장기요양기관에서 기장 및 사무, 사회복지 업무 하셨던 분 | 8시간 전 등록
[2025-07-09 06:00:43] INFO - 0130 | 이수정보㈜ | [인덕원] 금융권 AI 플랫폼 구축사업(PE/IR/고급) | 8시간 전 등록
[2025-07-09 06:00:43] INFO - 0131 | 피플라이프㈜ | 용산 / 보험설계사 경력자 채용 [업계 다양한 DB 사용 가능] | 8시간 전 등록
[2025-07-09 06:00:43] INFO - 0132 | 흥국생명보험㈜ | [본사직영 영업실장/ 관리자급 모집] 업계1위 복합TM센터, 업무만족도 1위 | 8시간 전 등록
[2025-07-09 06:00:43] INFO - 0133 | 위트기획 | 크리스쳔 국제리더쉽 문화센터 매니져 | 8시간 전 등록
[2025-07-09 06:00:43] INFO - 0134 | 피플라이프㈜ | [용산-직전 연봉 대비 지원금 지급] 인큐 사업단장/지점장 채용 공고 | 8시간 전 등록
