[2025-07-03 06:00:01] INFO - 🔧 Logging initialized
[2025-07-03 06:00:02] INFO - 프로그램 시작됨
[2025-07-03 06:00:02] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-03 06:00:19] INFO - 🔢 총 공고 수: 173809건 → 최대 페이지 수: 3477 페이지
[2025-07-03 06:00:19] INFO - 
📄 현재 페이지: 1
[2025-07-03 06:00:38] INFO - ⏱ 1.63초 대기
[2025-07-03 06:00:41] INFO - 
📄 현재 페이지: 3
[2025-07-03 06:00:41] INFO - 0101 | ㈜더핑크코리아 | 여성의류 패션 포토그래퍼 촬영 담당자 모집 합니다 :) | 7시간 전 등록
[2025-07-03 06:00:41] INFO - 0102 | 제주포슬 | [글루텐프리카페] 제주포슬 베이커, 바리스타 신입 모집 | 7시간 전 등록
[2025-07-03 06:00:41] INFO - 0103 | 이든 | [이든] CS 부서 직원 채용 | 7시간 전 등록
[2025-07-03 06:00:41] INFO - 0104 | 신성테크 | 금형 설계(경력직 우대 2D,3D 모델링) | 7시간 전 등록
[2025-07-03 06:00:42] INFO - 0105 | ㈜뉴런사이언스 | 뉴런사이언스학원(대치동) 상담/행정 직원 모집 공고 | 7시간 전 등록
[2025-07-03 06:00:42] INFO - 0106 | 바론 | 창원 바론테일러 맞춤정장 함께하실분 구합니다 | 7시간 전 등록
[2025-07-03 06:00:42] INFO - 0107 | 버치 베이커리 카페 | 화성 버치 베이커리 카페에서 오픈 멤버 홀 직원을 모집합니다. | 7시간 전 등록
[2025-07-03 06:00:42] INFO - 0108 | Bbang bakery | 호주 멜버른 한국 제빵기사 채용 | 7시간 전 등록
[2025-07-03 06:00:42] INFO - 0109 | 카페 라리사 | 브런치카페 라리사에서 함께할 바리스타를 찾습니다. | 7시간 전 등록
[2025-07-03 06:00:42] INFO - 0110 | 홍똘에이전시 | [디자이너/마케터] 홍똘에이전시 신입 멤버 모집 | 7시간 전 등록
[2025-07-03 06:00:43] INFO - 0111 | 감동학원 | 중등 고등 수학선생님 모집 | 7시간 전 등록
[2025-07-03 06:00:43] INFO - 0112 | sincevison | Vision 엔지니어 체용 어플리케이션 및 demo test | 7시간 전 등록
[2025-07-03 06:00:43] INFO - 0113 | 감동학원 | 초등수학선생님을 모십니다. | 7시간 전 등록
[2025-07-03 06:00:43] INFO - 0114 | 엘엠엘디컴퍼니 | [릴리마를린] 성수 매장 판매직원 채용 | 8시간 전 등록
