[2025-07-08 06:00:01] INFO - 🔧 Logging initialized
[2025-07-08 06:00:01] INFO - 프로그램 시작됨
[2025-07-08 06:00:01] INFO - 
🚀 크롤러 실행 시도 1/3
[2025-07-08 06:00:15] INFO - 🔢 총 공고 수: 176933건 → 최대 페이지 수: 3539 페이지
[2025-07-08 06:00:15] INFO - 
📄 현재 페이지: 1
[2025-07-08 06:00:33] INFO - 0086 | (주)맨파워코리아 | [이천/중식제공/자차필] 의류 물류센터 지게차 직원채용 | 5시간 전 등록
[2025-07-08 06:00:33] INFO - 0087 | ㈜커리어텍 | [롯데건설/인천 효성동] 건설현장 주간 경비 모집 | 5시간 전 등록
[2025-07-08 06:00:33] INFO - 0088 | ㈜코리아인 | [부산해운대 대기업] 시공현장 안전관리자 모집 | 5시간 전 등록
[2025-07-08 06:00:33] INFO - 0089 | ㈜맨토스파워 | 롯데시네마 남원주 지점 미화팀 채용 | 5시간 전 등록
[2025-07-08 06:00:33] INFO - 0090 | ㈜서빅 | [배구단/버스운전] KB손해보험 스타즈 버스 승무원 모집 | 5시간 전 등록
[2025-07-08 06:00:33] INFO - 0091 | 에이스휴먼파워㈜ | [월 298만/레스토랑] 스트릿 조리,홀 채용 -인근지점배치 | 5시간 전 등록
[2025-07-08 06:00:33] INFO - 0092 | ㈜맨파워코리아 | [강남구청역/6M] 미국계 패션브랜드 `R`사 리테일팀 Assistant | 5시간 전 등록
[2025-07-08 06:00:34] INFO - 0093 | 이케이맨파워주식회사 | [부산MBC] 보도 그래픽 디자인 사원 채용 (졸업예정자 가능) | 5시간 전 등록
[2025-07-08 06:00:34] INFO - 0094 | 트랜스코스모스코리아 | [쿠폰제공/평일근무] 옥션/지마켓 상품&불량거래 모니터링 ZSd1 | 5시간 전 등록
[2025-07-08 06:00:34] INFO - 0095 | ㈜엠제이플렉스 | [대기업 계열사/차고지:서초] 카카오엔터테인먼트 임원 수행기사 | 5시간 전 등록
[2025-07-08 06:00:34] INFO - 0096 | ㈜서빅 | [대기업/강남역] KB손해보험 본사 임원비서 채용 | 5시간 전 등록
[2025-07-08 06:00:34] INFO - 0097 | 에이스휴먼파워㈜ | [SPC/월 298만/레스토랑] 라그릴리아 조리/홀 서비스 채용 | 5시간 전 등록
[2025-07-08 06:00:34] INFO - 0098 | ㈜케이티아이에스 | NH농협은행 상담품질관리팀 교육강사 모집 | 5시간 전 등록
[2025-07-08 06:00:35] INFO - 0099 | 트랜스코스모스코리아 | [평일/용산] 푸드올로지 고객센터 관리자(부팀장) 채용 ZYe7 | 5시간 전 등록
[2025-07-08 06:00:35] INFO - 0100 | 트랜스코스모스코리아 | [신규오픈]아이리스브라이트 관리자(운영팀장,민원팀장,강사)채용 ZQg9 | 5시간 전 등록
[2025-07-08 06:00:35] INFO - ⏱ 1.84초 대기
[2025-07-08 06:00:37] INFO - 
📄 현재 페이지: 3
[2025-07-08 06:00:37] INFO - 0101 | 하랑 | [금천구청역] LG유플러스 결합/할인혜택 안내 업무 [월-금/면접비 지급] | 5시간 전 등록
[2025-07-08 06:00:38] INFO - 0102 | 하랑 | [에이닷 평촌지점] 수강생 1대1 학습코칭 진도관리 강사 채용 [전공무관] | 5시간 전 등록
[2025-07-08 06:00:38] INFO - 0103 | 하랑 | [에이닷 청주상당지점]수강생 1대1 학습코칭 진도관리 강사 채용[전공무관] | 5시간 전 등록
[2025-07-08 06:00:38] INFO - 0104 | LT소재㈜ | 2025년 하반기 LT소재 신입 및 경력사원 채용 | 5시간 전 등록
[2025-07-08 06:00:38] INFO - 0105 | ㈜웅진 | [웅진] 왕초보 가능 /영업 X 주말 X / 코웨이 단순 고객센터 상담사원 채용 | 5시간 전 등록
[2025-07-08 06:00:38] INFO - 0106 | ㈜웅진 | [월급 250 - 260 / 아웃바운드 / TM] 한의원 정규 매니저 채용 | 5시간 전 등록
[2025-07-08 06:00:38] INFO - 0107 | ㈜페리 | 주식회사 페리 [ERP/SCM] 개발 경력자 모집 | 6시간 전 등록
